source_bird,target_bird,count
Red-Cockaded Woodpecker ,Wood duck,1
Red-Headed Woodpecker ,acorn woodpecker,1
Red-Shouldered Hawk ,blue jay,1
Red-Shouldered Hawk ,barred owl,1
Red-Shouldered Hawk ,golden eagle,1
Red-Shouldered Hawk ,turkey vulture,1
Red-Tailed Hawk ,wild turkey,1
Red-Tailed Hawk ,golden eagle,1
Red-Winged Blackbird ,Common raven,1
Red-Winged Blackbird ,osprey,1
Red-Winged Blackbird ,Bobolink,1
Red-Winged Blackbird ,bobolink,1
Rose-breasted Grosbeak ,American robin,1
Rose-breasted Grosbeak ,blue jay,1
Roseate Spoonbill ,great egret,1
Roseate Spoonbill ,turkey vulture,1
Ruby-throated Hummingbird,Mississippi kite,1
Ruby-throated Hummingbird,loggerhead shrike,1
Ruby-throated Hummingbird,Blue jay,1
Sandhill Crane,whooping crane,2
Snowy Egret ,great egret,1
Song Sparrow ,horned lark,1
Spotted Owl,barred owl,2
Spotted Owl,golden eagle,1
Spotted Towhee ,gray catbird,1
Spotted Towhee ,western meadowlark,1
Steller’s Jay,blue jay,2
Steller’s Jay,osprey,1
Swainson’s Hawk,Mallard,1
Swainson’s Hawk,common raven,1
Tree Swallow ,northern flicker,1
Tree Swallow ,barred owl,1
Tree Swallow ,barn swallow,1
Tree Swallow ,house wren,1
Trumpeter Swan,wild turkey,1
Trumpeter Swan,common raven,1
Trumpeter Swan,golden eagle,1
Turkey Vulture,wild turkey,1
Turkey Vulture,osprey,1
Turkey Vulture,golden eagle,1
Turkey Vulture,common raven,1
Violet-Green Swallow ,barn swallow,1
Violet-Green Swallow ,acorn woodpecker,1
Western Meadowlark,osprey,1
Western Tanager,American robin,1
White-breasted Nuthatch ,pygmy nuthatch,1
White-breasted Nuthatch ,house wren,1
Whooping Crane,sandhill crane,3
Whooping Crane,great egret,1
Whooping Crane,great blue heron,1
Whooping Crane,wood stork,1
Whooping Crane,common raven,1
Whooping Crane,Golden eagle,1
Wild Turkey,trumpeter swan,1
Wild Turkey,California condor,1
Wild Turkey,whooping crane,1
Wild Turkey,barred owl,1
Wild Turkey,golden eagle,1
Wild Turkey,osprey,1
Wood Duck,mallard,2
