date,wiki_view_count,plays,plays_lagged,ebird_entries,log_wiki_view_count
8330,8330.0,8330.0,8160.0,5780.0,8330.0
2026-03-12 16:39:11.020408320,27.69159663865546,267.2448979591837,278.6041666666667,1.0,2.3914190843342866
2026-02-22 00:00:00,0.0,160.0,160.0,1.0,0.0
2026-03-05 00:00:00,3.0,210.0,210.0,1.0,1.3862943611198906
2026-03-15 00:00:00,9.0,250.0,254.0,1.0,2.302585092994046
2026-03-22 00:00:00,20.0,307.0,335.0,1.0,3.044522437723423
2026-03-23 00:00:00,732.0,437.0,437.0,1.0,6.597145701886651
,52.99731745620426,74.42756323639537,78.82100301182632,0.0,1.32038239068033
